      index (#),      time (sec),     voltage (V), petit voltage (mV)
+0.00000000e+00, +6.91413879e-06, +0.00000000e+00, +0.00000000e+00
+1.00000000e+02, +1.00034094e+00, -2.95311540e-02, +1.33393328e-02
+2.00000000e+02, +2.00395012e+00, -7.65835760e-02, -2.63981688e-03
+3.00000000e+02, +3.00943208e+00, -6.36541175e-02, -2.55742891e-02
+4.00000000e+02, +4.01475191e+00, -5.24106233e-02, +1.06296598e-04
+5.00000000e+02, +5.01563597e+00, -3.42877080e-02, +2.23793274e-02
+6.00000000e+02, +6.01601195e+00, -4.97242950e-02, +5.80665480e-02
+7.00000000e+02, +7.01962185e+00, -3.33102494e-02, +2.42054782e-02
+8.00000000e+02, +8.02231908e+00, -5.26300343e-02, -2.69055894e-03
+9.00000000e+02, +9.02563286e+00, -2.53774628e-02, +3.34178975e-02
+1.00000000e+03, +1.00298500e+01, -7.41027651e-02, +7.91521049e-02
+1.10000000e+03, +1.10349979e+01, -1.17184212e-01, +5.31377613e-02
+1.20000000e+03, +1.20397561e+01, -1.55137628e-01, +7.36519169e-02
+1.30000000e+03, +1.30445669e+01, -2.01418774e-01, +1.09012857e-01
+1.40000000e+03, +1.40493910e+01, -1.55893301e-01, +1.26236432e-01
+1.50000000e+03, +1.50542541e+01, -1.38684688e-01, +8.19845270e-02
+1.60000000e+03, +1.60588930e+01, -1.58939796e-01, +1.24572974e-01
+1.70000000e+03, +1.70636878e+01, -1.30123337e-01, +9.61943581e-02
+1.80000000e+03, +1.80683939e+01, -1.09224872e-01, +6.22044654e-02
+1.90000000e+03, +1.90732150e+01, -1.19993435e-01, +8.75689359e-02
+2.00000000e+03, +2.00768960e+01, -9.50803910e-02, +1.06054472e-01
+2.10000000e+03, +2.10801568e+01, -1.01765114e-01, +1.18567180e-01
+2.20000000e+03, +2.20849459e+01, -7.06128486e-02, +9.00559368e-02
+2.30000000e+03, +2.30897620e+01, -9.68005366e-02, +9.33936383e-02
+2.40000000e+03, +2.40945971e+01, -1.03645035e-01, +7.26228379e-02
+2.50000000e+03, +2.50993950e+01, -1.44475792e-01, +6.04350002e-02
+2.60000000e+03, +2.61042809e+01, -1.36675597e-01, +2.99754801e-02
+2.70000000e+03, +2.71091390e+01, -1.13458162e-01, +1.19270669e-02
+2.80000000e+03, +2.81138461e+01, -1.42781431e-01, +4.19607031e-02
+2.90000000e+03, +2.91186090e+01, -9.52479501e-02, +4.67242531e-02
+3.00000000e+03, +3.01235049e+01, -1.44723324e-01, +9.33981128e-02
+3.10000000e+03, +3.11288571e+01, -1.16895156e-01, +9.86070267e-02
+3.20000000e+03, +3.21335380e+01, -1.24456216e-01, +1.36638063e-01
+3.30000000e+03, +3.31383758e+01, -1.53856954e-01, +1.64592877e-01
+3.40000000e+03, +3.41422400e+01, -1.25421244e-01, +1.91655814e-01
+3.50000000e+03, +3.51465499e+01, -1.64809891e-01, +2.21257703e-01
+3.60000000e+03, +3.61504879e+01, -1.86201724e-01, +1.93608650e-01
+3.70000000e+03, +3.71554639e+01, -2.19362740e-01, +1.65810578e-01
+3.80000000e+03, +3.81594517e+01, -2.54735747e-01, +1.69893577e-01
+3.90000000e+03, +3.91642480e+01, -2.18805373e-01, +2.05051037e-01
+4.00000000e+03, +4.01691339e+01, -2.48463990e-01, +2.32072206e-01
+4.10000000e+03, +4.11729379e+01, -2.42693396e-01, +1.86371416e-01
+4.20000000e+03, +4.21772580e+01, -1.98857304e-01, +1.40327568e-01
+4.30000000e+03, +4.31807978e+01, -1.96466694e-01, +1.32007774e-01
+4.40000000e+03, +4.41856270e+01, -2.15000041e-01, +1.42420552e-01
+4.50000000e+03, +4.51907489e+01, -2.04374305e-01, +1.46062040e-01
